mCA w arm,count,mean,std,min,25%,50%,75%,max,wb_fitness
13q-,43.0,0.04929089235800602,0.2659121864080891,-0.5955761047434313,-0.12963683301976897,0.012638071304584343,0.13620552695398458,0.955812935798309,15.8
13q=,45.0,0.043022194673050844,0.36422305835676516,-0.9174081468961869,-0.21028675217664455,0.018175674397046607,0.2574225081950132,1.0392920627624955,13.0
14q=,90.0,0.026335281007108243,0.2440203643040906,-0.6264074391246115,-0.11327919340289336,0.05399521495350504,0.17519516874989322,0.7545620397399954,12.4
6p=,27.0,-0.010643779617192962,0.21933623309275396,-0.4509330814705025,-0.17867146531299916,0.006510674538219391,0.1731584893644218,0.4266764568148202,11.6
11q=,72.0,-0.02416843951636353,0.2395806822792944,-0.5380454137424877,-0.1626861303720408,-0.002560547763883623,0.1406452273859735,0.6202224755546153,12.5
9p=,38.0,-0.029588330422962376,0.330476129464642,-1.1462808676739304,-0.20433965447319094,-0.025354949216555324,0.22045348566966994,0.5915263992622835,14.8
12+,47.0,-0.030855356430626684,0.300570006638051,-0.6134141560019482,-0.21648504274808886,-0.05667245970492639,0.1407622346431975,0.8826453188632901,16.7
14q+,26.0,-0.055813800276021994,0.21017727534386044,-0.3972650307127684,-0.20551539298558685,-0.09861083911160615,0.0415092697690122,0.4369069254850813,14.3
1q=,58.0,-0.07143412066195322,0.21594056536079084,-0.6368756198025101,-0.2085431319535987,-0.07917229970756362,0.0841998152138046,0.34548243145015584,11.5
12q=,27.0,-0.07785385395401884,0.17277386586273422,-0.43018864168986143,-0.20414110047334313,-0.052689664295899274,0.07722989676547282,0.1869474644217367,12.4
9q=,39.0,-0.0789516059337537,0.1844241977496882,-0.4649290658691989,-0.21026191675240333,-0.10183136013225497,0.06133341397153068,0.25570537339422833,12.9
15q=,35.0,-0.0836885205406006,0.16592960089426967,-0.4507946704736279,-0.19553398293803437,-0.03159478559063144,0.0388349327284125,0.13649746727695047,11.1
11q-,38.0,-0.08479328355058097,0.2761810329163868,-0.7693608876217233,-0.2630401065225372,-0.12810825650038804,0.08238361657991311,0.5340981728379414,13.0
5q-,47.0,-0.08948032125927084,0.3732527311770343,-1.3767922622125117,-0.2554505766689928,-0.0587680164339579,0.04623851914723505,1.5279587877021592,14.2
1p=,59.0,-0.09725399947158417,0.21928655139153622,-0.7276345382638955,-0.2399400173343948,-0.08144836838146957,0.08225167138115257,0.29386348728068373,12.4
22q+,30.0,-0.11526516548815777,0.23642453614577605,-0.7297365160018742,-0.23447113999599906,-0.12771476648652502,0.04636211403703417,0.27290805844623356,11.1
22q=,40.0,-0.11610340308541486,0.3383783591751516,-1.5772349433999064,-0.2445004922874853,-0.036519548151215664,0.10069998210952714,0.28695681048960414,14.2
20q-,78.0,-0.14194324124309388,0.2763620944094596,-0.9506457660003059,-0.3014817342438295,-0.14623727034142606,0.04902168346632463,0.6234204002478684,14.2
11p=,53.0,-0.17094579860644088,0.23764393764345182,-0.6889292661204182,-0.36482733018645175,-0.12112451525522851,-0.026034769494306734,0.5578069289100408,13.4
15q+,50.0,-0.17918454130953418,0.3061782437660943,-1.0316472344510716,-0.3149290095450074,-0.19288034709609742,0.008736769142301544,0.4720318608901677,12.6
